question,answer
"A 23-year-old is undergoing surgery for an incarcerated femoral hernia. As part of the surgery, a cut was made of the ligament named after Cooper and bleeding started. For which artery should superselective angiography be performed?
A. Obturator artery.
B. Superior epigastric artery.
C. Inferior Epigastric Artery.
D. Femoral Artery.
",A
"In which surgeries to repair an inguinal hernia with an anterior approach is there an indication for a tissue-type repair.
(without network)?
A. In smokers.
B. In diabetics.
C. In recurrent inguinal hernia repair.
D. When a bowel resection was necessary after it  was incarcerated.
",D
"What is the surgical approach in a patient suffering from an incarcerated femoral hernia with intestinal necrosis who is urgently operated upon?
A. Bassini repair.
B. McVay repair.
C. Lichtenstein repair.
D. Shouldice repair.
",B
"A 70-year-old man complains of tenderness and swelling in the right testicle 3 days after open surgery to repair a recurrent inguinal hernia on the right.
What is the recommended treatment in this situation?
A. Antibiotics.
B. Surgery to review the scrotum.
C. Anti-inflammatory and pain relievers.
D. Anticoagulants.
",C
"A female patient is a candidate for a right mastectomy (mastectomy) due to malignancy. A sentinel node resection was performed in the right armpit,  the frozen section showed  metastasis. What should be the next step of the surgical treatment?
A. Lymphatic dissection of the right armpit - layer 1 and 2.
B. Removal of 3 sentinel lymph nodes.
C. Intraoperative radiation.
D. To end  the surgical operation.
",A
"A 55-year-old candidate for breast conserving surgery due to malignancy in the left breast. During her examination, the malignant mass, 1.5 cm in diameter, was felt in the left breast in the upper outer quadrant, but there were no other findings on examination. During surgery, the malignant mass was resected and 2 sentinel nodes were removed. The nodes were found to be positive for metastases. In addition to radiation to the entire breast, what does the treatment of the patient require?
A. Lymphatic dissection of the left armpit - layer 1 and 2.
B. Systemic treatment (hormonal or chemical).
C. Total mastectomy.
D. Intraoperative radiation to the armpit.
",B
"What is the second most common malignancy in the breast?
A. INVASIVE DUCTAL CARCINOMA.
B. INVASIVE LOBULAR CARCINOMA.
C. MUCINOUS CARCINOMA.
D. INVASIVE PAPILLARY CARCINOMA.
","A,B,C,D"
"The treatment for BORDERLINE PHYLLODES TUMOR type must include, in addition to its excision:
A. Radiation to the operated breast.
B. Taking sentinel lymph nodes in the armpit on the same side.
C. Excision with a desirable margin of at least 1 cm.
D. Systemic treatment.
",C
"Where is Ghrelin secreted from?
A. From the antrum.
B. From the body of the stomach.
C. From the fundus.
D. From the whole stomach.
","B,C"
"A patient with a BMI of 36 presents with one of the following underlying diseases. What underlying disease is not  an indication for bariatric surgery?
A. Diabetes.
B. Dyslipidemia.
C. Ischemic heart disease.
D. Hypertension.
",C
"According to the findings of the Swedish Obese Subjects study, what was the reduction in mortality in patients followed for 15 years post bariatric surgery?
A. About 80%.
B. About 30%.
C. About 15%.
D. About 5%.
",B
"Which finding would confirm the suspicion that a candidate for surgery for obesity is suffering from Pickwickian syndrome?
A. Dilated aorta on chest x-ray.
B. Hematocrit below 35 in blood count.
C. Peaked T-waves in the ECG.
D. PO2>pCO2 in blood gases.
",D
"Which of the following treatments has been shown to reduce mortality in sepsis?
A. Anti-TNF antibody.
B. Recombinant IL-1Ra.
C. Recombinant activated protein C.
D. So far no effective treatment has been found.
",D
"What are Kupffer cells in the liver?
A. Macrophages.
B. Basement membrane cells.
C. Hepatic stem cells.
D. Dendritic cells.
",A
"A TEG (thromboelastogram) was taken for a bleeding injured person, showing an elongated R. What is the treatment in this case?
A. FFP.
B. Platelets.
C. Tranexamic acid.
D. Heparin.
",A
"A 62-year-old diabetic was rescued 12 hours after falling in a wadi. During his examination, a lumbar spine fracture was suspected, with partial motor deficits in the lower limbs. It was decided not to give the injured person steroids. What will justify the decision?
A. Age over 60.
B. Background diabetes.
C. The injury happened 12 hours ago.
D. The paralysis is partial.
",C
"Which of the following is a contraindication for a kidney transplant?
A. Systemic lupus.
B. NYHA heart failure 4.
C. HIV.
D. Diabetes.
",B
"What is the purpose of the CMV test in the donor before small intestine transplant surgery?
A. Prevention of the development of severe colitis in the transplant recipient.
B. Prevention of CMV retinitis in the transplant recipient.
C. Prevention of hearing loss in the transplant recipient.
D. Prevention of the development of lymphoma in the transplant recipient.
","A,D"
"A female patient was diagnosed with a mass in the abdominal wall. Pathology was suggestive of desmoid. In which case will we choose supervision only?
A. The patient has abdominal pain.
B. The mass pushes the ureter.
C. The mass grew from 8 to 10 cm in the radiological follow-up.
D. A 15 cm mass.
",D
"Which of the syndromes is most likely the risk factor for sarcoma of the abdominal wall in a 16-year-old boy?
A. MEN I.
B. Li-Fraumeni Syndrome.
C. BRCA2.
D. Peutz-Jeghers syndrome.
",B
"What size intubation tube will we use in an 8 child?
A. 3.
B. 4.
C. 5.
D. 6.
",D
"A 6-year-old boy who was injured in a car accident has evidence of partial nerve damage in the lower limbs that passes after a few hours. A total body CT was performed and no obvious injury to the spinal vertebrae was demonstrated. What is the diagnosis?
A. Diffuse axonal injury.
B. Air emboli.
C. Spinal injury.
D. Thrombosis of the spinal plexus.
",C
"What is the disadvantage of Peroral endoscopic myotomy (POEM) compared to Laparoscopic Heller
Myotomy?
A. An increase in mortality.
B. Longer recovery time.
C. Higher recurrence rate of dysphagia.
D. An increase in the frequency of reflux.
","C,D"
"Which of the following describes the mechanism of action of MYCOPHENOLATE MOFETIL?
A. INOSINE MONOPHOSPHATE DEHYDROGENASE Antagonist.
B. IL antagonist-2.
C. ANTI CD25 MONOCLONAL ANTIBODIES.
D. ANTI CD3 MONOCLONAL ANTIBODIES.
",A
"What is a side effect of CYCLOSPORINE A?
A. Gingival recession.
B. Extreme drop in blood pressure.
C. Hypertrichosis.
D. Diabetes that is difficult to balance.
",C
"What would not adversely affect prognosis in intrahepatic cholangiocarcinoma (IHCC)?
A. Vascular involvement.
B. Multifocal.
C. Lymph nodes in the porta hepatis are positive for the tumor.
D. CEA above 200 ng/mL.
",D
"What is considered an absolute contraindication to liver resection due to colorectal metastases?
A. Number of metastases of 4 or more.
B. Margins are close.
C. 20%<Future Liver Remnant.
D. Bilateral involvement of the liver lobes.
",C
"1.5 years ago, a 40 year old underwent a right colon resection due to adenocarcinoma, STAGE 1.
In oncological follow-up and in light of an increase in CEA to 15 ng/mL, imaging was performed (PET CT, MRI, CT) which demonstrated one metastasis in segment 2 of the liver with a maximum size of 3 cm. He underwent successful removal surgery.
And the metastasis was excised with a clean margin of 2 cm. What is the expected survival rate for 5 years?
A. 80%.
B. 60%.
C. 30%.
D. 15%.
",B
"With reference to liver adenoma, LIVER CELL ADENOMA, which of the following is considered the most significant risk factor for the development of malignancy?
A. B-CATENIN mutation.
B. Inflammatory Adenoma.
C. HNF1A mutation.
D. Adenomatosis.
",A
"A 32 year old patient is 20 weeks pregnant and has peptic ulcer disease. She is admitted to the emergency department due to sudden severe pain in the abdomen, and signs of peritoneal irritation on physical examination. In blood tests - leukocytosis, liver and pancreas functions within the norm. What will be the first imaging test for further investigation? 
A. X-Ray. 
B. US. 
C. CT. 
D. MRI. 

",A
"A patient is hospitalized in the intensive care unit, ventilated, anesthetized, and paralyzed. Abdominal.
compartment syndrome is suspected and Intra-abdominal pressure is measured through a catheter in the bladder. How should the measurement be performed?
A. Pressure measurement at the beginning of inspirium.
B. Pressure measurement at the end of inspirium.
C. Average of the measurements during several breathing cycles.
D. Pressure measurement during cessation of breathing.
",D
"A 1.5 year-old is crying, and seems to be suffering. The stomach is slightly swollen, and sensitivity is noted on abdominal examination. 
US examination for diagnosing intra-abdominal pathology was performed. Which of the following is the most common sonographic finding?
A. Ovarian environment.
B. Enlarged mesenteric lymph nodes.
C. Target sign.
D. Meckel's diverticulitis.
",C
"In the case of vascular trauma, an approach to repair which blood vessel among the following would be optimal after performing the Left medial visceral rotation maneuver?
A. Inferior Vena Cava.
B. Part II of Superior Mesenteric Artery.
C. Left external iliac artery.
D. Celiac trunk.
",D
"In a patient who regularly takes NSAIDS painkillers drugs from which group may
Increase the risk of bleeding in the digestive system?
A. Selective serotonin reuptake inhibitors.
B. Alpha-adrenergic agonists.
C. H2-receptor antagonists.
D. GLP-1 receptor agonist.
",A
