question,answer
"What will reduce the high incidence of malignant diseases in kidney transplant recipients?
A. Providing prophylactic treatment with Valganciclovir.
B. Giving preventive treatment by Aciclovir.
C. Treatment with mTOR inhibitors instead of Calcineurin inhibitors.
D. Treatment with mycophenolate mofetil instead of mTOR inhibitors.
",C
"What is true about the risks of performing an endoscopy?
A. In diagnostic endoscopy the risk of bleeding is around 5%.
B. A patient with a prosthetic valve undergoing EUS and FNA should be given endocarditis prophylaxis.
C. The risk of pancreatitis after ERCP is around 5-30%.
D. Percutaneous gastrostomy insertion has a 30% risk of infection.
",C
"When can EBV-lymphoproliferative disease develop after a kidney transplant?
A. Starting two months after the transplant.
B. Starting 12 months after the transplant.
C. Starting two weeks after the transplant.
D. Starting 5 years after the transplant.
",A
"What is considered a risk factor for sudden death in a 35-year-old patient with Hypertrophic Cardiomyopathy?
A. Appearance of atrial fibrillation.
B. Thickening of the apical parts of the ventricles.
C. Mitral valve insufficiency.
D. The absence of blood pressure elevation at the peak of exertion.
",D
"A 34-year-old woman is requesting a consultation regarding drug treatment for obesity. She states that she is usually ""full"" and has gained about 15 kg for no reason in the last two years without substantial diet and physical activity changes. Her blood pressure was 167/94, and purple striae was found on the abdomen and beneath the axilla. What are the next step required for diagnosis?
A. Cortisol level in the morning. 
B. Blood cortisol level in the morning. 
C. Urine collection for cortisol. 
D. ACTH level in the blood. 

",C
"A 75 year old was admitted to the hospital due to Malena. What would indicate the need for an urgent endoscopy?
A. 150 ml of blood in the nasogastric tube bag.
B. Blood pressure 80/60 mmHg.
C. Treatment with Antiaggregants.
D. The hemoglobin value is 10 g/dL.
",B
"A 60 year old with a background of liver cirrhosis is hospitalized due to varicose vein bleeding. What is true about antibiotic treatment in this patient?
A. Antibiotic treatment should be given for a week.
B. Antibiotic treatment is not recommended for this patient.
C. Long-term antibiotic treatment should be given.
D. Antibiotic treatment should be given if the patient is a candidate for varicose vein ligation.
",A
"A 71 year old patient is anesthetized, ventilated, and treated with ceftriaxone due to sepsis. In their history: Parkinson's disease, ischemic heart disease, hypertension, and depression.
Until hospitalization, he regularly took Levodopa + Carbidopa, Aspirin, Citalopram, Amlodipine, and Valsartan.On the third day of hospitalization, there was an aggravation: fever of 40 C, rigidity, Labile arterial blood pressure, increased creatinine and increased CPK. What is the most likely reason for the clinical and laboratory deterioration?
A. Ceftriaxone treatment failure.
B. Discontinuation of Parkinson's disease treatment.
C. Discontinuation of depression treatment.
D. Drug fever for Ceftriaxone.
",B
"What is true about the treatment of Myelofibrosis?
A. A JAK inhibitor has curative potential in myelofibrosis.
B. A common side effect of JAK inhibitors is leukocytosis.
C. Interferon alpha can reduce fibrosis in the early stage.
D. Steroids may worsen anemia in myelofibrosis.
",C
"Who should be given the medicine Fluticasone + Vilanterol?
A. For patients with Asthma but not for patients with COPD.
B. For patients with COPD but not for patients with Asthma.
C. For patients with COPD and also for patients with Asthma.
D. For patients with Emphysema but not for patients with Asthma.
",C
"When should you try to lower the blood pressure of a patient who is suffering from an acute ischemic stroke and is not intended for thrombolytic therapy?
A. When blood pressure values are above 220/130.
B. When blood pressure values are above 180/110.
C. When blood pressure values are above 160/100.
D. When blood pressure values are above 140/90.
",A
"In which case of NSTEMI is Prasugrel treatment better than Clopidogrel?
A. 40 years old with PCI to the bypassed artery.
B. 64 years old intended for conservative treatment.
C. 64 years old undergoing PCI to the left main about a month after a stroke.
D. 80 years old with atrial fibrillation who underwent PCI to the right artery.
",A
"A 74-year-old man was hospitalized due to an MI. In their history:  type 2 diabetes was diagnosed about 17 years ago, and is treated with Metformin.
Last HbA1c was 7.6%. He has microalbuminuria with preserved renal function, dyslipidemia with an LDL level of 128 mg/dL, and repeated episodes of pancreatitis. What treatment is recommended?
A. Semaglutide.
B. Empagliflozin.
C. Sitagliptin.
D. Repaglinide.
",B
" A 40-year-old man who underwent a gastroscopy due to pain in the abdomen and a decrease of about 5% in his body weight was found to have  an ulcer in the first part of the duodenum measuring 8 mm. What is true about a duodenal ulcer?
A. A biopsy should be taken to rule out malignancy.
B. Most duodenal ulcers are associated with Helicobacter pylori.
C. In most cases, the ulcer in the duodenum is larger than 3 cm.
D. Duodenal ulcers appear at an older age than stomach ulcers.
",B
"What is true about vaccination against S. Pneumoniae in a 50-year-old woman with multiple myeloma? 
A. The polysaccharide vaccine (PPSV23) should be given every 5 years in this patient. 
B. The conjugate vaccine (PCV13) effectively prevents invasive infections in this patient. 
C. Do not give the polysaccharide vaccine (PPSV23) to this patient. 
D. Vaccinating with the PPSV23 vaccine before the PCV13 vaccine is better. 

",B
"What is required for laboratory follow-up about 3 months after starting Rosuvastatin treatment?
A. ALT.
B. CPK.
C. LDH.
D. INR.
",A
"What is the most accepted treatment today for patients suffering from HTN due to Atherosclerotic stenosis of one of the renal arteries?
A. Elastant angioplasty.
B. Angioplasty with a stent.
C. ACE inhibitors.
D. Calcium channel blockers.
",C
"A 50-year-old man with obesity and reflux, treated with Proton Pump Inhibitor, came to the ER with Paresthesia and leg cramps. What caused the symptoms?
A. Hypomagnesemia.
B. Hypokalemia.
C. Hyponatremia.
D. Hypercalcemia.
",A
"A 70-year-old man with heart failure and end-stage renal failure treated with hemodialysis, is hospitalized, and ventilated due to pulmonary edema. He was hospitalized 3 weeks ago due to an infection from the dialysis catheter and was treated with antibiotics. 10 days later, he developed a fever, with purulent discharge from the tube and a new filtrate on a chest x-ray. What is the empiric antibiotic treatment in this case? 
A. Ceftazidime + Azithromycin. 
B. Meropenem + Clarithromycin. 
C. Piperacillin-Tazobactam + Levofloxacin. 
D. Piperacillin-Tazobactam + Azithromycin. 

",C
"What is the most important prognostic factor in AML at the time of diagnosis?
A. The size of the spleen.
B. The height of the WBC count.
C. The percentage of blasts in the bone marrow.
D. The chromosomal changes.
",D
"A 55 year old was admitted due to pain and swelling in the proximal interphalangeal joints (PIP) with morning stiffness.
Her grandmother had arthritis. The patient denies psoriasis, abdominal pain and diarrhea. What is the best course of action at this point?
A. ANA test.
B. ANCA test.
C. Ultrasound examination.
D. Photo of the hands.
",C
"Which drug can cause acute renal failure through the mechanism of acute tubular necrosis (ATN).? 
A. Cisplatin.
B. Aciclovir.
C. Rifampin.
D. Ciprofloxacin.
","A,C"
"A usually healthy 19 year old was admitted to the cardiac intensive care unit with a diagnosis of Acute Viral Myocarditis.
The echocardiogram showed left ventricular enlargement with a 40% ejection fraction. Which drug is most recommended at this stage of the disease?
A. Ibuprofen.
B. Ramipril.
C. Prednisone.
D. Oseltamivir.
",B
"A 42 year old is generally healthy. Due to neck discomfort, he underwent a neck US examination, which showed a normal thyroid gland and a 7 mm oval structure suspicious for a parathyroid adenoma. In the laboratory, PTH is increased 1.5 times the upper value of the norm, calcium 8.7 mg/dL, phosphorus 3.5 mg/dL, albumin 4 g/d ""L. What is the next step in managing the case? 
A. Parathyroidectomy. 
B. FNA guided by the US. 
C. Vitamin D levels. 
D. CT head and neck with contrast material.
",C
"What is true about inflammatory bowel diseases, CD (Crohn's disease), and UC (Ulcerative colitis)?
A. Smoking is a risk factor for UC.
B. The incidence of diseases has been increasing in recent decades.
C. Appendectomy is a risk factor for UC.
D. UC has a stronger genetic basis than CD.
",B
"A 60-year-old man with hyperlipidemia and hypertension is hospitalized for chest pain. During hospitalization,
fever and phlebitis appear near a peripheral IV without other abnormal findings on physical examination. During the hospitalization, the patient undergoes a TTE echocardiogram demonstrating a calcified aortic valve. In blood culture, growth of Staphylococcus aureus appears in one test tube without additional growth in other tubes. What is the right approach now?
A. Start treatment and perform a TEE as soon as possible to rule out endocarditis.
B. Start treatment and repeat the TTE echocardiogram later.
C. Start treatment and repeat TTE echocardiography if the condition worsens.
D. Start treatment and perform a PET-CT as soon as possible to rule out an abscess.
",B
"A 39 years old, with epilepsy and regular treatment with Phenytoin 300 mg per day, is hospitalized due to pneumonia and treated with Ceftriaxone and Azithromycin. After a day, horizontal nystagmus and instability in walking developed. In the laboratory: leukocytosis 13,000 mm3, albumin 2.9 g/dL, BUN 19 mg/dL, triglycerides 112 mg/dL, blood phenytoin level 17 ng/L (norm 10- 20 ng/l). What is the most likely cause of the patient's neurological symptoms?
A. Involvement of the central nervous system in pulmonary infection.
B. Reduction in phenytoin clearance.
C. A decrease in the concentration of albumin in the blood.
D. Interaction between phenytoin and antibiotic treatment.
",C
"A 50 year old is complaining of abdominal pain. In the laboratory: hemoglobin 9 g/dL, MCV 98, leukocytes 2,900 in mcm, platelets 100,00 in mcm, LDH 800, bilirubin 2.7 mg/dL, and direct 0.7. CT Angio shows mesenteric vein thrombosis. What is the test of choice that will lead to a diagnosis?
A. BCR: ABL.
B. Osmotic Fragility.
C. JAK2.
D. Flow Cytometry.
",D
"In which of the patients suffering from Rheumatoid arthritis is the use of Methotrexate permitted?
A. 35 years old pregnant.
B. 65 years old with interstitial lung disease.
C. 55 years old with chronic kidney failure (creatinine 2.2 mg/dL).
D. 80 years old with hypertension and AFIB.
",D
