question,answer
"A 26-year-old female patient is referred for surgical resection of a complex ovarian cyst of 7 cm, mostly clear, with a septum and papillary projection of 7 mm. The cyst has been known for 6 months. What is the next step in case management?
A. Administering pills and performing a repeat ultrasound examination in 6 months.
B. Laparoscopic excision of the cyst and its removal in a bag.
C. Draining the cyst under US guidance and sending the fluid for cytology.
D. Laparoscopic surgery and entering the cyst cavity with the laparoscope to discover or rule out malignancy signs.
",C
"What is included in the protocol of Enhanced Enhanced Recovery after surgery (ERAS)?
A. Fast at least 6 hours before surgery.
B. Before surgery, with a high probability of resection and bowel resection, bowel preparation must be performed by emptying.
C. PCA (Patient Controlled Analgesia) should be used to treat pain after surgery.
D. In surgery lasting more than 3 hours, 500 ml of crystalloids must be given for each additional hour of surgery.
",C
"25 years old, without children, would like to give birth in the future.
She underwent a right Salpingo-oophorectomy due to a tumor.
The histological sample from the resection diagnosed a DYSGERMINOMA with a diameter of 7 cm in the right ovary and, in addition, a 5 mm focus of The same growth in the left ovary that was resected completely. No evidence of further dispersion. What is the next step in the management?
A. Follow up every 3 months by voice and markers.
B. Chemotherapy using BEP.
C. Completion of ovariectomy and left fallopian tube and addition to BEP.
D. Completion of left ovary and tubal resection and addition of radiation to the pelvis.
",B
"In surgery for epithelial ovarian cancer, a tumor involving both ovaries was found with a diameter of 5cm that adheres to the rectum without a separation plane.
Hysterectomy and resection of ovaries and omentum were performed, lymph node sampling was performed, and resection of a segment of the rectum was performed.
In pathology: two ovaries with a SEROUS tumor, omentum, and peritoneal biopsies without evidence of tumor, tumor distribution on the intestine's surface that is evident, and positive lymph nodes that were positive for tumor cells were noted. What is the stage of the disease?
A. II.
B. IIIA1.
C. IIIA2.
D. IIIB.
","B,D"
"A 38 year old mother of 3, discovered she was  carrying a BRCA2 mutation after her mother got ovarian cancer at age 55.
She has a Regular menstrual cycle, uses a copper intrauterine device, and does not want another pregnancy.
What is the treatment to reduce this patient's ovarian cancer risk?
A. Surgery to remove the ovaries and fallopian tubes before age 40.
B. Replacing the device with combined pills and Surgery to remove the ovaries and fallopian tubes no more than the age of 45.
C. Expanding genetic testing to determine the degree of risk for ovarian cancer and, depending on the result, determining the timing of surgery For oophorectomy and fallopian tubes.
D. Surgery to remove the ovaries and fallopian tubes about 5 years before the mother's age of diagnosis.
",B
"A 30-year-old married woman without children would like to conceive. She underwent laparoscopic surgery to remove the right ovary and fallopian tube due to a complex cyst.
 Pathology Revealed Endometrioid Ovarian Cancer Grade II. What is the next step in case management?
A. Administration of complementary chemotherapy.
B. Performing PET-CT and, if regular - follow-up every 3 months.
C. Exploratory laparotomy, staging while preserving the uterus and left ovary and, if normal - follow-up only.
D. Exploratory laparotomy, staging while preserving the uterus and left ovary, and, if regular - Administration of chemotherapy.
",C
"A 64-year-old woman was operated on for a stage III mucinous ovarian tumor and left with a small residual disease of less than 1 cm. What is the next treatment?
A. AVASTIN+GEMZAR.
B. Treatment protocol for colon cancer.
C. Taxol + Carboplatin and then maintenance treatment with PARPP inhibitors.
D. Taxol + Carboplatinum combined with AVASTIN.
",D
"What is the treatment for the recurrence of high-grade serous epithelial ovarian cancer?
A. Liposomal Doxorubicin (Caylex) when the disease returned 4 months after the end of the initial chemotherapy treatment.
B. Carboplatinum when the disease returned 8 months after the end of the initial chemotherapy treatment.
C. Taxol (Paclitaxel) when the disease returned 8 months after the end of the initial chemotherapy treatment.
D. Avastin (Bevacizumab) when the disease returned 4 months after the end of the initial chemotherapy treatment.
",A
"In which genes were mutations found in cervical tumors without the presence of HPV?
A. KRAS.
B. TP53.
C. BRCA.
D. POLE.
",A
"What is the lifetime risk of ovarian cancer in a woman with LYNCH SYNDROME?
A. 0.5-1%.
B. Y 6-12%.
C. 18-22%.
D. 30-40%.
",B
"What is the most accurate description of POLE  mutation?
A. Disruption of the segment of 53P associated with prognosis in ovarian malignancy.
B. Disruption of an enzyme involved in DNA repair associated with the prognosis of uterine malignancy.
C. Disruption of the enzyme involved in DNA replication is associated with the prognosis of ovarian malignancy.
D. Disruption of the KRAS segment associated with the prognosis of uterine malignancy.
",B
"A 32 year old, underwent a wide biopsy of the cervix. Histology revealed SQUAMOUS CELL CARCINOMA, with a penetration depth of 8 mm, with penetration into lymphatic vessels and blood vessels. On clinical examination, a tumor with a maximum diameter of 5 cm without evidence of parametrium or vaginal involvement. On imaging, there is no evidence for ectopic tumor involvement. According to the STAGING from 2018, in which disease stage is the patient?
A. I-B-2.
B. I-B-3.
C. II-A-2.
D. III-C-1.
",B
"At what stage of cervical malignancy, without penetration into blood vessels and lymphatic vessels, is it appropriate to perform an excision Radical neck RADICAL TRACHELECTOMY to preserve fertility?
A. I-A-1.
B. I-B-1.
C. I-B-2.
D. I-B-3.
",B
"What is the 5-year survival rate in cases of invasive cervical cancer in stage B-II (according to the latest STAGING)?
A. About 90%.
B. About 70%.
C. About 50%.
D. About 30%.
","B,C"
"Which of the following parameters is a high-risk factor for malignant recurrence of the cervix after surgery?
A. Surgical margins close to the tumor tissue.
B. The size of the tumor.
C. Tumor penetration into more than half of the stroma of the cervix.
D. Penetration into blood vessels or lymphatic vessels.
",A
"What does type II RADICAL HYSTERECTOMY include?
A. Cutting of the uterine artery at its origin from the iliac.
B. Resection of the uterosacral ligament in its entirety.
C. Excision of about half of the cardinal ligament.
D. Excision of half of the vagina.
",C
"What factors affect the chances of detecting the sentinel gland in surgeries for cervical malignant tumors?
A. Performing the previous conization.
B. The size/volume of the tumor tissue.
C. Duration of injection of the dye.
D. The diameter of the injector of the dye.
",B
"In which areas is it acceptable to inject the dye or fluorescence to identify the sentinel gland in surgery due to Cervical malignancy?
A. At 3:00 and 9:00 of the cervix.
B. At 6:00 and 12:00 of the cervix.
C. At 3:00 and 6:00, at 9:00, and 12:00 of the cervix.
D. The injection should be adapted to the location and size of the tumor in the cervix.
",A
"What is the recommendation for the SCREENING survey for the early diagnosis of endometrial cancer in women treated with tamoxifen?
A. Measuring the thickness of the endometrium every six months.
B. Measuring the thickness of the endometrium every year.
C. Endometrial biopsy every year.
D. Following the recommendation in the general population.
",D
"What is the stage of the disease in endometrial malignancy with the involvement of the parametrium?
A. IIB.
B. IIIA.
C. IIIB.
D. IIIC.
",C
