question,answer
"According to the clinical guidelines:
In Which of the following conditions is it recommended to treat carriers of Group A Streptococcus (GAS) in the pharynx?
A. In a community outbreak of glomerulonephritis secondary to GAS.
B. In children over 1 year of age with repeated episodes of tonsillitis.
C. When one of the household members of a sick child is immunocompromised.
D. In an outbreak of impetigo in kindergarten with a number of sick children.
",A
"A 17 years old with a healthy background has had difficulty in studies since childhood. On examination: height in the 95th percentile and weight in the 75th percentile. Long legs relative to the torso, gynecomastia, small testicles, and pubic hair in Tanner grade 3. What is the probable diagnosis? 
A. It is a physiological gynecomastia of puberty, and withdrawal is expected. 
B. There is an increased risk of breast cancer and mediastinal tumors. 
C. A complete maturation process and normal fertility are expected. 
D. The testosterone treatment improves fertility. 

",B
" A blood pressure value between the 90th and 95th percentile for gender and height is measured twice in a routine blood pressure test for a 16-year-old who normally healthy. According to clinical guidelines, what is the recommended approach?
A. Repeat the test in a week and if the value is similar, start treatment with ACE inhibitors.
B. Recommend a proper diet, physical activity and repeated blood pressure measurement in 6 months.
C. Repeat the test at the age of 18 because this is most likely an accidental and asymptomatic finding.
D. Perform a kidney Doppler ultrasound and blood test for serum renin and aldosterone levels.
",B
"A 3-month-old suffers from convulsions on the right side of his body. During the pregnancy he was diagnosed with a rhabdomyoma in the heart, the course of the birth was normal. What is true about the likely diagnosis in this infant? 
A. It is likely that his parents are relatives. 
B. More common in Jews of Ashkenazi origin. 
C. Usually, it is a new mutation. 
D. The inheritance is from the mother only. 

",C
"A one and a half year old manages to turn over in both directions, does not crawl but tries to move forward and sitting is unstable. She is are able to grasp an object handed to her, manages to pass an object from hand to hand, smiles, and utters sounds but not syllables. What is the approximate developmental age level of the girl? 
A. 2-3 months. 
B. 5-6 months. 
C. 7-8 months. 
D. 10-12 months. 

",B
"A 2 year old, without an atopic background, is recovering from an RSV infection, and still coughs and wheezes occasionally. In the laboratory - serum IgE level of 600 units/ml in serum (norm up to 200). What is your clinical conclusion regarding the laboratory answer? 
A. Allergic disease is highly likely, and anti-IGE treatment should be started. 
B. This is a high probability of an Aspergillus infection. 
C. It is not possible to conclude regarding the diagnosis because the diagnostic value of this test is low. 
D. You should proceed clearly and perform an IgE test for specific antigens. 

",C
"A newborn is hospitalized in a hospital after being born at 26 weeks weighing 750 grams. His economy is
Based  on the basis of cow's milk and receives the addition of environmental oxygen only. At the age of 3 weeks, multiple apneas appear, green residual content is seen in the nano gastric tube and bloody stools appear. What would be the indication for surgical intervention?
A. Fixed loop in repeat abdominal X-ray.
B. Air fluid level above the liver in Decubitus photography.
C. Erythema and swelling of the abdominal wall around the navel.
D. Bloody stools that persist under fasting.
",B
"According to the clinical guidelines: A usually healthy six years old is hospitalized due to high fever and a limp for the past two days. On physical examination: sensitivity when moving the hip joint on the right, lab results demonstrated increased inflammation indicators. On US, a large amount of fluid was detected in the hip, in which 80,000 leukocytes/mm were counted. A blood culture was taken, and intravenous cephemazine was administered. What is true about the common etiology and its treatment? 
A. Often, there is an anamnesis of (Aphthous Stomatitis) recently. 
B. Only in about 5% of cases can the generator be isolated from the blood. 
C. Intravenous treatment is recommended for 3 weeks. 
D. In case of penicillin allergy, you can consider an alternative treatment with Rasperim. 

",D
"A 6-year-old is examined in the ER due to general weakness, salivation, difficulty coughing, and slow and unclear speech from the day before her referral. Two weeks earlier she suffered from a fever which passed after 3 days. In a finger-to-nose test, bilateral dysmetria, positive Romberg with a tendency to fall to the right side, clonus and a pathological Babinski sign on the right. What is the most likely diagnosis? 
A. Guillain-Barre syndrome. 
B. Acute demyelinating encephalomyelitis. 
C. Low-grade thalamic glioma. 
D. Acute post-infectious focal cerebellitis. 

",B
"A 4-month-old was examined at the hospital because of insufficient weight gain. No examinations were performed during pregnancy. The baby was born at 37 weeks, weighing 2.8 kg, his weight today - 4 kg. The parents are first cousins and healthy. The baby is fed with breast milk and Baby Formula supplements - he eats between 90-120 ml every three hours. He urinates a lot and suffers from constipation. When examining him, there are signs of moderate dehydration and significant thinness in the emergency department—the pulse - 150 per minute, normal blood pressure. The rest of the physical examination is regular. In the laboratory: Hemoglobin g/dl -14.5 reference 10-12. PH 7.6 reference 7.35 -7.45 . HCO3 mEq/L 38 reference 16-24. Serum. Creatinine mg/dl 0.22 reference 0.2-04. Urea mg/dl 50 reference 5-18. K+ 2.2 references 4.1-5.3. NA + 137 reference 134-144. Cl 89 reference 98-106. Urine. CL 60 <10. Na+ 25. K+ 30. What else is expected to be found in the laboratory tests? 
A. Hypercalciuria. 
B. Hypermagnesemia. 
C. Aldosterone is low in the blood. 
D. Prostaglandin E levels are low in the urine. 

",A
