question,answer
"What is the equivalent dose of Risperidone, beyond which (higher than) no antipsychotic benefit was observed, and side effects were evident, according to the review article:
Examination of Dosing of Antipsychotic Drugs for Relapse Prevention in Patients with Stable Schizophrenia - A Meta-analysis JAMA Psychiatry 2021.
A. 2 mg.
B. 3 mg.
C. 4 mg.
D. 5 mg.
",D
"Which of the antihistamines is used as a treatment for delayed orgasm resulting from treatment with SSRI's?
A. Promethazine.
B. Cyproheptadine.
C. Fexofenadine.
D. Chlorpheniramine.
",B
"What criteria distinguishes ADHD from a manic/hypomanic episode?
A. Distractedness.
B. Impulsiveness.
C. Fluency.
D. Little need for sleep.
",D
"Which of the withdrawal symptoms from cannabis is less common?
A. Excessive sleepiness.
B. Anxiety.
C. Headaches.
D. Chills.
",A
"Which of the following drugs does not act as a Dopamine-agonist?
A. Bupropion.
B. Bromocriptine.
C. Brexpiprazole.
D. Cariprazine.
",A
"A patient suffering from pheochromocytoma comes to a psychiatric consultation. What is the most common mental complaint he will express?
A. Auditory hallucinations.
B. Anxiety.
C. Depression.
D. Cognitive impairment.
",B
"Which test does not have to be conducted before treatment with stimulants in children and youth?
A. Height.
B. Weight.
C. Blood Pressure.
D. Blood count.
",D
"A 35-year-old woman comes to a psychiatric emergency room accompanied by her husband for the first time in her life and claims that a foreign man is impersonating her relatives to hurt her. To the examiner's question: ""Are all the people around impersonating and changing identities""? She answers that no, only that specific person is impersonating people close to her. What syndrome does the patient have?
A. Fregoli.
B. Clerambault.
C. Cotard.
D. Schneider.
",A
"In which of the following personality disorders is Splitting more common?
A. Compulsive.
B. Narcissistic.
C. Avoidant.
D. Paranoid.
",B
"According to Freud's psychosexual theory, the pathology of which stage will manifest itself in constant ambivalence, hesitation and indecision?
A. Orally.
B. Anal.
C. Genital.
D. Phallic.
",B
"Who treated Bertha Pappenheim before Freud?
A. Joseph Breuer.
B. Jean-Martin Charcot.
C. Pierre Janet.
D. Albert Londe.
",A
"In which of the following diagnoses, is a dissociative phenomenon not a criterion in the 5-DSM?
A. Acute Stress Disorder.
B. Post-Traumatic Stress Disorder.
C. Adjustment Disorder.
D. Panic Disorder.
",C
"According to the law for the treatment of the mentally ill (1991), when can the district psychiatrist order involuntary ambulatory outpatient medical treatment?
A. Only in cases where the conditions for forced hospitalization are met.
B. Only at the end of a forced hospitalization period.
C. Only when the patient refuses to be examined by a psychiatrist.
D. Only after a benefit in his condition, which allows him to be released from forced hospitalization.
",A
"All the following procedures require repeated/continuous treatment except:
A. VNS.
B. DTMS.
C. DBS.
D. Anti Cingulotomy.
",D
"What is the main reason for the recommendation not to add SSRI's to Clozapine?
A. It reduces its blood levels.
B. Increase the risk of contractions.
C. Increase risk of agranulocytosis.
D. Reduce its effectiveness in suicide levels.
",B
"A 35 year old  divorced man has been hospitalized five times  for manic states as part of bipolar disorder. He is not compliant with his treatment between his hospitalizations. His parents are concerned about the prognosis. What is the average period of remissions (remissions) between his future hospitalizations?
A. A month or two.
B. Six-nine months.
C. Two to two and a half years.
D. Four-five years.
",B
"Which sign is not typical after taking PCP?
A. Hypothermia.
B. Depression.
C. Paranoia.
D. Hypertension.
",A
"A 30-year-old woman came accompanied by her husband with complaints of weight loss and weakness. A physical examination revealed nothing. With the exception of a difficult feedback conversation at work about two months ago, her husband does not indicate any other triggers. The woman mentions difficulty swallowing and a feeling that something is stuck in her throat, so she does not eat and hardly drinks. What is the most likely diagnosis for her?
A. Somatic Symptom Disorder.
B. Illness Anxiety Disorder.
C. Conversion Disorder.
D. Adjustment Disorder.
",C
"What disorders did Freud describe in Anna's case?
A. Conversion.
B. Psychosis.
C. Obsessive-compulsive disorder.
D. Autism.
",A
"Which symptom overlaps between schizophrenia, bipolar disorder, and major depression, according to the characteristics of the categories of DSM?
A. Hallucinations.
B. Insomnia.
C. Lack of reason.
D. Irritability.
",A
"Which of the following psychosocial factors most increases the risk of suicidal behavior in children and teenagers?
A. Childhood neglect.
B. Sexual abuse.
C. Physical violence.
D. Social difficulties.
",B
"Discontinuing which of the following SSRI's would be less likely to cause withdrawal syndrome?
A. Fluoxetine.
B. Paroxetine.
C. Fluvoxamine.
D. Sertraline.
",A
"Which of the following comorbid disorders is less common in adults with ADHD?
A. Anxiety Disorder.
B. Depression.
C. Delusional Disorder.
D. Substance use disorder.
",C
"What is the best definition of the ""principle of reality"" according to Freud?
A. Having a normal reality test.
B. The ability to delay immediate gratification.
C. The ability to distinguish between good and bad.
D. Innate tendency to avoid pain.
",B
"Which of the following characterizes the aging of the human brain?
A. 37% decrease in the weight of the brain.
B. Decreased permeability of the blood-brain barrier.
C. Increase in blood flow.
D. Sulci widening.
",D
"Martin Seligman's research led to progress in understanding which of the following disorders?
A. Depression.
B. PTSD.
C. OCD.
D. Anxiety.
",A
"A20-year-old was referred for consultation by a plastic surgeon after undergoing two nose surgeries but continues to claim that her nose is deformed, even though everyone tells her that the operations were successful. She is completely convinced, her nose crooked and ugly. What drug treatment is recommended as the first line for her?
A. Aripiprazole.
B. Escitalopram.
C. Buspirone.
D. Phenelzine.
",B
"Which of the following drugs was found to be more effective in combination with SSRI's in the JAMA 2022 article Combining Antidepressants vs Antidepressant Monotherapy for Treatment of Patients with Acute Depression - A Systematic Review and Meta-analysis?
A. Mirtazapine.
B. Bupropion.
C. Reboxetine.
D. Venlafaxine.
",A
"The condition of a 50-year-old suffering from major depression is starting to improve. What characterizes the suicidal risk for him at this stage?
A. Decreases due to the improvement in condition.
B. Increased due to the return of planning capabilities.
C. Does not change at this stage and will increase only when building the insight.
D. Decreases due to the hope, created due to the beginning of the improvement.
","A,B"
"Which of the following is not a criterion of narcissistic personality disorder according to 5-DSM?
A. Expectation of personal treatment.
B. Lack of empathy.
C. Affective lability.
D. Exploitation of others.
",C
